State,Year,population_state_total,population_ages_5–17,number_of_operating_public_schools_district,public_school_enrollment,average_daily_attendance_in_public_schools,number_of_public_high_school_graduates,total_instructional_staff_in_public_schools,number_of_teachers_in_public_schools,percentage_of_public_school_teachers_who_are_men,average_salaries_of_public_school_teachers,average_salaries_of_instructional_staff_in_public_schools,percentage_change_in_average_instructional_staff_salaries,per_capita_personal_income,percentage_change_in_per_capita_personal_income,personal_income_per_student_in_fall_enrollment,personal_income_per_student_in_average_daily_attendance,public_school_revenue_per_student_in_fall_enrollment,public_school_revenue_per_student_in_average_daily_attendance,per_capita_general_expenditures_of_state_governments_for_all_functions,per_capita_expenditures_of_state_local_governments_for_public_welfare,per_capita_expenditures_of_state_local_governments_for_health_hospitals,per_capita_expenditures_of_state_local_governments_for_police_fire_protection,per_capita_expenditures_of_state_local_governments_for_all_education,current_expenditures_for_public_schools_per_student_in_fall_enrollment
UNITED STATES,2010,308746,41026,15339,49244844,46913205,3198654,3630757,3153567,24,55623,57427,-0.1,39791,5.3,250543,263452,12037,12037,5311,1579,740,445,2434,10770
UNITED STATES,2011,311592,53285,15504,49221735,47387743,3207689,3524220,3083266,23.9,55418,57218,1.6,42298,4.4,268015,279075,11946,12408,5244,1547,765,444,1875,10834
UNITED STATES,2012,313874,53728,15556,49380319,47768200,3241228,3563767,3109751,23.7,56103,58066,1.2,44200,243055,281819,292152,12231,12644,1404,679,546,1847,10770,10938
UNITED STATES,2013,NA,15339,15462,49568215,48015081,3272590,3560267,3121926,23.8,56610,58486,38846,-4.5,NA,257181,12037,12357,12757,NA,NA,NA,NA,NA,11355
UTAH,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,3942,688,370,253,2241,NA
UTAH,2002,2319,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,25041,2.3,121576,129774,NA,NA,3902,743,386,263,2309,NA
UTAH,2003,2352,513,40,486938,446203,29709,24904,21659,25.8,38976,40732,1.2,25645,5.1,125368,135080,6206,6773,4028,829,421,267,2245,5091
UTAH,2004,2421,507,40,494100,446013,28721,24424,20953,26.2,39456,41233,3,26946,NA,132206,144275,6495,7195,NA,NA,NA,NA,NA,5032
UTAH,2005,NA,NA,40,484623,445550,28407,26352,22789,25.9,40007,43180,NA,NA,NA,NA,NA,6889,7494,NA,NA,NA,NA,NA,5347
UTAH,2007,2645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,4739,829,478,347,2206,NA
UTAH,2008,2727,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,32596,-2.2,165351,199902,NA,NA,5013,908,518,576,2288,NA
UTAH,2009,2785,595,41,563273,443840,29933,29580,25167,23.6,45885,47884,2.5,31886,1.1,157598,195450,8574,10881,5131,995,511,354,2216,6859
UTAH,2010,2764,478,41,576245,443449,31969,29562,26328,23.6,47033,49102,2.5,32121,5.2,158275,200865,8276,8276,5221,1016,538,319,2433,6672
UTAH,2011,2817,494,41,597397,443072,33357,30779,27245,23.6,48159,50322,2.5,34173,4.8,167093,178705,8247,11119,5331,1060,568,320,2383,6849
UTAH,2012,2855,630,125,600595,568157,34753,31146,27820,23.6,49393,51572,2.4,35891,157598,174622,183857,8549,9037,908,518,576,2288,6672,7223
UTAH,2013,NA,41,131,612395,578042,35317,31719,27249,24.8,45695,52806,31886,-2.2,NA,195450,8276,8743,9262,NA,NA,NA,NA,NA,7476
VERMONT,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,5343,1229,142,207,2371,NA
VERMONT,2002,616,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,29855,2.9,182468,205466,NA,NA,5806,1340,148,216,2465,NA
VERMONT,2003,619,106,284,98051,86809,7057,10360,8966,28,42007,43457,5.8,30103,5.4,187072,216877,12056,13617,5920,1635,179,247,2836,10763
VERMONT,2004,621,104,286,95187,82335,7378,10136,8717,28.4,44535,45994,4.7,31737,NA,201130,227177,13190,15249,NA,NA,NA,NA,NA,11667
VERMONT,2005,NA,NA,287,94600,79543,7579,10469,9009,27.9,46622,48150,NA,NA,NA,NA,NA,14065,16727,NA,NA,NA,NA,NA,12475
VERMONT,2007,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,7580,2020,264,292,3322,NA
VERMONT,2008,621,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,39236,-1,268584,323338,NA,NA,8096,2187,308,592,3648,NA
VERMONT,2009,622,94,286,87580,70028,8201,10503,8905,30.2,49084,55053,3.4,38849,3.1,272588,336616,18074,22603,8262,2246,1072,300,3675,16308
VERMONT,2010,626,72,286,85635,67559,8371,10535,8901,30.2,50141,56947,3.3,39736,6.9,283978,355153,20572,20572,8605,2338,328,349,2287,17447
VERMONT,2011,626,108,286,84008,64853,8569,10635,8964,30.2,51306,58852,2.4,42911,3.4,313978,397983,21924,28399,8838,2396,335,361,3740,18571
VERMONT,2012,633,93,286,82346,62311,8729,10685,8981,30.2,52526,54102,3.4,44443,272588,342354,428957,23485,31035,2187,308,592,3648,17447,19752
VERMONT,2013,NA,286,286,79646,59941,8896,9709,7971,30.2,55958,55958,38849,-1,NA,336616,20572,25479,33855,NA,NA,NA,NA,NA,21263
VIRGINIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,3505,641,437,265,2079,NA
VIRGINIA,2002,7288,1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,32964,3,206145,221011,NA,NA,3569,696,458,276,2149,NA
VIRGINIA,2003,7365,1308,132,1192539,1104240,72042,113337,98656,19.2,43655,44624,3.3,33993,6.4,212794,228903,9484,10242,3692,831,469,302,2153,8705
VIRGINIA,2004,7481,1307,132,1204808,1114757,73719,115364,98900,19,42768,44401,3.3,36175,NA,226292,244387,10115,10932,NA,NA,NA,NA,NA,8729
VIRGINIA,2005,NA,NA,132,1214737,1125451,76405,107966,91783,18.8,43823,45876,NA,NA,NA,NA,NA,10529,11364,NA,NA,NA,NA,NA,9275
VIRGINIA,2007,7712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,4673,1039,542,398,1806,NA
VIRGINIA,2008,7795,1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,44756,-3.5,283374,306477,NA,NA,4804,1093,561,592,1872,NA
VIRGINIA,2009,7883,1314,132,1245165,1149943,87101,125647,106674,17.8,50015,51504,1.5,43187,2.8,277065,299202,13022,14101,4769,1195,399,431,1733,11290
VIRGINIA,2010,8001,1023,132,1252529,1155672,89391,124631,105830,17.5,48761,50647,2.4,44134,5.1,284433,307836,12608,12608,4984,1258,625,393,2065,10832
VIRGINIA,2011,8097,1294,132,1260334,1163286,89587,121963,103908,17.5,48703,50574,1.5,47126,3.5,304997,330102,12389,13422,5087,1231,649,402,1840,11192
VIRGINIA,2012,8187,1347,132,1266128,1171652,89241,120486,102669,17.4,48670,50717,1.7,48715,277065,316822,342021,12097,13073,1093,561,592,1872,10832,10695
VIRGINIA,2013,NA,132,132,1279544,1177939,88477,118952,102031,17.3,49826,51744,43187,-3.5,NA,299202,12608,12233,13288,NA,NA,NA,NA,NA,10866
WASHINGTON,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,4147,1022,661,289,2121,NA
WASHINGTON,2002,6067,1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32696,1,196325,210388,NA,NA,4244,1108,692,302,2193,NA
WASHINGTON,2003,6131,1107,296,1021497,950298,61904,59709,52911,30,45434,47786,0.7,32838,6.6,198178,212889,8574,9216,4352,1046,766,314,2292,7353
WASHINGTON,2004,6207,1099,296,1021502,953486,58409,60103,53260,29.7,45718,48111,1.5,35017,NA,212668,228602,8905,9540,NA,NA,NA,NA,NA,7683
WASHINGTON,2005,NA,NA,296,1033489,960463,57194,60514,53570,29.6,46326,48833,NA,NA,NA,NA,NA,9290,9997,NA,NA,NA,NA,NA,7958
WASHINGTON,2007,6468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5206,1182,882,381,2154,NA
WASHINGTON,2008,6566,1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,43732,-4.4,278285,298527,NA,NA,5483,1246,909,594,2295,NA
WASHINGTON,2009,6664,1119,295,1035887,974150,64761,60386,53611,28.8,53003,55913,-0.1,41795,1.3,268303,288148,11360,12080,5423,1295,543,390,2203,9900
WASHINGTON,2010,6725,868,295,1041245,979516,68503,60640,53884,28.7,52926,55851,-1.1,42024,4.5,273551,290883,11730,11730,5401,1296,1017,382,2048,9720
WASHINGTON,2011,6830,1117,295,1045987,979222,62696,59693,53020,28.6,52232,55255,0.1,44420,5.6,291082,309426,11599,12390,5382,1237,1026,415,2196,10000
WASHINGTON,2012,6895,1142,295,1053061,981921,63319,60322,53565,28.4,52234,55317,1.5,47055,268303,310602,331335,11439,12267,1246,909,594,2295,9720,9908
WASHINGTON,2013,NA,295,295,1060298,989403,62037,61724,54725,27.9,52969,56163,41795,-4.4,NA,288148,11730,11539,12366,NA,NA,NA,NA,NA,9929
WEST VIRGINIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,4189,1185,286,140,1949,NA
WEST VIRGINIA,2002,1805,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23841,2,152492,163904,NA,NA,4416,1295,301,147,2030,NA
WEST VIRGINIA,2003,1811,290,55,280561,266079,17327,22597,19869,24.5,38461,39961,-0.2,24450,5,157285,170107,9723,10252,4719,1247,314,160,2062,9018
WEST VIRGINIA,2004,1813,284,55,279457,271197,17152,22575,19809,24.2,38360,39897,-0.1,25681,NA,166164,175207,10114,10422,NA,NA,NA,NA,NA,9461
WEST VIRGINIA,2005,NA,NA,55,279788,273780,16796,22607,19791,24,38284,39856,NA,NA,NA,NA,NA,10530,10761,NA,NA,NA,NA,NA,9886
WEST VIRGINIA,2007,1812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,5330,1402,347,221,2027,NA
WEST VIRGINIA,2008,1815,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,31513,-1.4,203002,217119,NA,NA,5713,1555,390,632,2139,NA
WEST VIRGINIA,2009,1820,280,55,282892,261290,17836,22655,19796,23.4,45959,47698,-0.5,31075,2.7,203681,218652,11893,12877,5811,1622,2215,259,2122,11043
WEST VIRGINIA,2010,1853,215,55,282130,285870,17356,22600,19791,23.1,44260,46215,2.4,31806,6.4,209276,211794,12317,12317,6169,1745,379,248,2030,11423
WEST VIRGINIA,2011,1855,292,55,282091,304575,17598,22694,19860,23,45320,47321,0.1,33822,3.5,222370,219461,12710,11772,6307,1749,395,253,2337,11777
WEST VIRGINIA,2012,1857,281,55,282309,272085,17905,22529,19737,23.2,45453,47486,-0.7,35140,203681,231289,239799,13093,13585,1555,390,632,2139,11423,12112
WEST VIRGINIA,2013,NA,55,55,281013,264927,17598,22436,19670,23.3,45086,47140,31075,-1.4,NA,218652,12317,13551,14374,NA,NA,NA,NA,NA,12519
WISCONSIN,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,4250,1022,383,324,2310,NA
WISCONSIN,2002,5440,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,29937,2,185209,205347,NA,NA,4350,1113,401,339,2399,NA
WISCONSIN,2003,5474,994,426,880031,810770,62518,66256,60033,28.2,42882,46093,3.3,30613,4.7,190173,205121,10696,11610,4504,1246,414,344,2428,9483
WISCONSIN,2004,5504,970,426,864757,816546,63741,66357,60127,27.9,44299,47631,6,32063,NA,200716,215659,10926,11571,NA,NA,NA,NA,NA,9805
WISCONSIN,2005,NA,NA,426,875174,817232,63006,65614,59552,27.6,46390,50497,NA,NA,NA,NA,NA,11114,11902,NA,NA,NA,NA,NA,9965
WISCONSIN,2007,5602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,4974,1329,475,384,1835,NA
WISCONSIN,2008,5628,952,NA,NA,NA,NA,NA,NA,NA,NA,NA,–0.8,37916,-2.6,243964,264435,NA,NA,5336,1565,550,643,1895,NA
WISCONSIN,2009,5655,946,425,872436,802492,66603,64903,58849,26.7,51264,55193,5.4,36927,3.1,239641,259670,12855,13975,5570,1672,529,414,1950,11429
WISCONSIN,2010,5687,745,424,872286,795985,65893,63948,58041,26,54195,58159,-0.9,38010,4.9,247971,270538,13078,13078,5785,1757,525,412,1993,11787
WISCONSIN,2011,5712,1000,424,871105,837986,64631,61850,56180,25.9,53792,57649,0.4,40648,4.2,266076,271869,14088,14645,5554,1737,539,423,1959,12172
WISCONSIN,2012,5725,967,424,872436,831502,62557,62095,56425,25.9,53797,57858,-0.1,42475,239641,279126,300131,12776,13405,1565,550,643,1895,11787,11395
WISCONSIN,2013,NA,424,424,874414,821741,60687,62612,56835,25.9,53679,57777,36927,-2.6,NA,259670,13078,12545,13349,NA,NA,NA,NA,NA,11337
WYOMING,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,5228,764,1035,328,2560,NA
WYOMING,2002,499,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,31122,4.2,176741,190068,NA,NA,5740,832,1093,343,2659,NA
WYOMING,2003,502,90,48,84741,78721,5903,7363,6513,30.3,39532,40903,2.5,32316,5.8,188418,203025,11449,12325,6295,1001,1382,356,2840,9673
WYOMING,2004,506,86,48,83772,77878,5616,7423,6579,29.7,40497,41930,6.9,34199,NA,204423,220249,12316,13248,NA,NA,NA,NA,NA,10372
WYOMING,2005,NA,NA,48,83705,77757,5480,7500,6641,29.5,43255,44835,NA,NA,NA,NA,NA,13745,14797,NA,NA,NA,NA,NA,11596
WYOMING,2007,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,–2.6,NA,NA,NA,NA,8563,1259,1734,466,2885,NA
WYOMING,2008,533,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,50588,-14,315064,337927,NA,NA,9124,1341,2089,1284,3154,NA
WYOMING,2009,544,92,48,87420,80676,5480,8033,7085,29.7,55861,58050,0.4,43489,5.9,281411,300563,19576,21212,8788,1342,1495,591,2861,15345
WYOMING,2010,564,73,48,88165,81518,5416,8052,7115,29.4,56100,58303,2,45353,9.2,292891,317213,18716,18716,8633,1345,2149,517,1975,15997
WYOMING,2011,568,92,48,88994,82593,5383,8171,7220,29.4,57222,59469,0,49212,6.5,316684,341936,18137,19542,8696,1357,2252,524,2920,16666
WYOMING,2012,577,97,48,90993,83983,5283,8172,7331,29.2,56775,58846,-0.3,52469,281411,338186,363945,18661,20218,1341,2089,1284,3154,15997,15943
WYOMING,2013,NA,48,48,92218,85404,5220,8292,7454,29.2,56583,58660,43489,-14,NA,300563,18716,19224,20757,NA,NA,NA,NA,NA,16008
