,,2012-13 (REVISED),,,,CLASSROOM TEACHERS 2012?13,,,,,OTHER NON-SUPERVISORY,,TOTAL,2012-13 AVERAGE SALARY FOR CLASSROOM TEACHERS,,,ALL TEACHERS % CHANGE VERSUS,TOTAL CURRENT EXPENDITURES FOR PUBLIC,,,CURRENT,CAPITAL,INTEREST ON,,,
,,FALL ENROLLMENT,,,ELEMENTARY SCHOOL,,,SECONDARY SCHOOL,,TOTAL,INSTRUC-,PRINCIPALS &,INSTRUC-,INSTR.,ELEM.,SEC.,2011-12,ELEMENTARY AND SECONDARY DAY SCHOOLS,PER STUDENT ,PER STUDENT ,EXPENDITURES,OUTLAY,SCHOOL DEBT,,,
REGION AND STATE,ELEMENTARY,SECONDARY,TOTAL,MEN,WOMEN,TOTAL,MEN,WOMEN,TOTAL,TEACHERS,TIONAL,SUPERVISORS,TIONAL STAFF,STAFF,,, (CURRENT $),AMOUNT ('000s),IN ADA,IN ENR,OTHER PROGRAMS,('000s),('000s),,,
ARIZONA,"763,911 *","305,891","1,069,802 *","6,772 *","36,343 *","43,115 *","7,611 *","10,260 *","17,870 *","60,986 *","2,970 *","2,317","66,273 *","49,885","49,885","49,885",2.45,"7,433,868 *","7,021 *","6,949 *",0*,"812,005 *","675,821",,,
NEW MEXICO,"188,405","148,204","336,609","2,429 *","12,159 *","14,589 *","2,860 *","3,860 *","6,720 *","21,309","1,314","1,056","23,679","48,885","46,573","46,573",2.08,"3,499,613","10,814 *","10,397 *","3,387","687,869","75,183",,,
OKLAHOMA,"396,460 *","274,430","670,890 *","3,869","25,673","29,542","5,306","6,921","12,227","41,769","4,805","2,745","49,319","45,994","43,758","45,023",-0.59,"5,689,583 *","9,017 *","8,481 *","24,214 *","604,854 *","68,195",,,
TEXAS,"2,932,336","2,112,406","5,044,742","16,787","145,053","161,840","55,908","96,141","152,049","313,889","17,606","22,140","353,635","50,901","47,664","48,585",-0.54,"39,781,058","8,400 *","7,886 *","348,691","6,556,613","3,696,976",,,
ROCKY MOUNTAINS,"1,103,326","897,245","2,000,571","7,544","53,390","60,933","20,635","29,694","50,329","111,262","8,697","6,949","126,909","52,269","50,229","50,313",2.07,"18,683,106","12,295","10,616","186,118","2,567,201","734,519",,,
COLORADO,"445,461 *","423,158","868,619 *","3,177 *","22,519 *","25,695 *","9,025 *","14,520 *","23,545 *","49,240 *","4,860 *","3,286","57,387 *","52,147","49,844","49,844",1.62,"8,858,907","10,997 *","10,199 *","61,739","882,343","464,882",,,
IDAHO,"162,356 *","131,721","294,077 *",996 *,"7,459 *","8,455 *","3,369 *","4,287 *","7,656 *","16,111 *",772 *,"1,024","17,907 *","51,837","49,734","49,734",2.44,"2,507,772 *","9,113 *","8,528 *",0*,"615,941 *","95,929",,,
MONTANA,"95,812 *","43,015","138,827 *","1,259 *","5,956 *","7,215 *","1,614 *","1,863 *","3,477 *","10,692 *",944 *,547,"12,183 *","50,003","49,999","49,999",2.99,"1,477,848 *","13,663 *","10,645 *",0*,"25,753 *","13,154",,,
UTAH,"348,883 *","259,650","608,533 *","1,516 *","14,101 *","15,616 *","5,061 *","7,143 *","12,204 *","27,820 *","1,602 *","1,724","31,146 *","51,572","49,393","49,393",2.56,"4,338,085 *","9,801 *","7,129 *","105,987 *","793,746 *","159,663",,,
WYOMING,"50,814","39,701","90,515",596,"3,356","3,952","1,566","1,881","3,447","7,399",518,368,"8,285","60,003","57,517","58,383",1.22,"1,500,494","17,899 *","16,577 *","18,392","249,418",891,,,
FAR WEST,"5,583,755","2,992,457","8,576,212","30,764","174,294","205,058","74,639","97,538","172,177","377,235","31,691","26,859","435,786","66,097","64,562","65,110",1.64,"82,468,143","12,261","11,505","2,002,958","10,573,271","4,436,100",,,
ALASKA,"88,189","39,748","127,937",647,"3,397","4,044","1,888","3,686","5,574","9,618",466,460,"10,544","66,919","64,813","64,674",4.87,"2,327,366","19,662 *","18,192 *","14,083","338,990","24,809",,,
CALIFORNIA,"4,188,947 *","1,995,981","6,184,927 *","18,546 *","113,123 *","131,668 *","51,060 *","65,970 *","117,030 *","248,699 *","21,954 *","18,674","289,327 *","70,087","69,324","69,324",1.16,"56,915,201 *","9,280 *","9,202 *","1,775,680 *","6,354,368 *","3,097,549",,,
HAWAII,"99,986","77,455","177,441",684,"5,255","5,939","2,167","3,092","5,259","11,198","1,461",497,"13,156","55,757","54,300","54,300",0.43,"2,052,903","12,721 *","11,569 *","56,287","205,030","254,332",,,
